ir.symb	fig.rel	ir.lett	cult.fr	raven	pers.sp1	pers.sp2	vocab
68.592	78.573	72.879	77.784	88.896	66.656	97.901	88.896
37.154	71.43	38.583	38.892	22.224	45.826	47.909	72.228
67.163	83.335	84.311	70.839	94.452	45.826	89.569	83.34
48.586	59.525	48.586	59.727	44.448	37.494	54.158	66.672
31.438	54.763	40.012	54.171	22.224	39.577	56.241	72.228
47.157	80.954	47.157	59.727	38.892	41.66	58.324	44.448
24.293	61.906	25.722	50.004	22.224	29.162	70.822	72.228
54.302	61.906	62.876	50.004	38.892	49.992	77.071	77.784
54.302	95.24	77.166	63.894	33.336	56.241	89.569	61.116
65.734	85.716	60.018	75.006	77.784	49.992	68.739	77.784
85.74	92.859	82.882	68.061	88.896	60.407	60.407	77.784
55.731	61.906	50.015	63.894	27.78	45.826	74.988	61.116
57.16	76.192	62.876	61.116	27.78	49.992	72.905	61.116
15.719	35.715	17.148	40.281	22.224	41.66	43.743	72.228
35.725	80.954	51.444	56.949	50.004	41.66	49.992	77.784
90.027	97.621	87.169	80.562	94.452	60.407	91.652	88.896
25.722	38.096	30.009	45.837	16.668	31.245	41.66	44.448
34.296	76.192	15.719	58.338	33.336	41.66	58.324	55.56
41.441	71.43	44.299	63.894	44.448	27.079	54.158	66.672
65.734	88.097	61.447	61.116	55.56	31.245	54.158	83.34
54.302	83.335	48.586	65.283	66.672	47.909	62.49	77.784
17.148	35.715	22.864	33.336	27.78	31.245	43.743	61.116
42.87	47.62	42.87	51.393	33.336	43.743	49.992	72.228
41.441	69.049	60.018	55.56	38.892	37.494	54.158	77.784
20.006	45.239	25.722	40.281	11.112	35.411	70.822	61.116
15.719	40.477	22.864	31.947	5.556	39.577	68.739	66.672
54.302	80.954	67.163	55.56	33.336	41.66	60.407	66.672
62.876	83.335	67.163	66.672	44.448	41.66	74.988	83.34
67.163	76.192	61.447	55.56	33.336	33.328	64.573	72.228
28.58	52.382	25.722	37.503	44.448	49.992	35.411	66.672
67.163	78.573	60.018	63.894	22.224	47.909	68.739	55.56
38.583	59.525	47.157	48.615	22.224	37.494	54.158	66.672
52.873	52.382	55.731	44.448	22.224	39.577	43.743	55.56
0	47.62	0	36.114	38.892	31.245	43.743	77.784
67.163	95.24	77.166	73.617	72.228	43.743	83.32	88.896
42.87	66.668	55.731	61.116	50.004	45.826	74.988	66.672
62.876	80.954	77.166	65.283	44.448	66.656	81.237	77.784
58.589	76.192	57.16	51.393	44.448	43.743	79.154	72.228
68.592	85.716	74.308	63.894	72.228	39.577	72.905	66.672
17.148	59.525	24.293	47.226	27.78	27.079	54.158	50.004
61.447	76.192	57.16	54.171	33.336	47.909	64.573	72.228
51.444	73.811	60.018	66.672	72.228	41.66	54.158	72.228
45.728	69.049	44.299	50.004	33.336	43.743	54.158	61.116
62.876	59.525	51.444	52.782	44.448	54.158	66.656	66.672
58.589	95.24	65.734	66.672	66.672	39.577	77.071	61.116
62.876	76.192	58.589	56.949	44.448	54.158	62.49	77.784
18.577	57.144	27.151	47.226	33.336	24.996	54.158	33.336
44.299	54.763	50.015	50.004	55.56	47.909	64.573	77.784
48.586	80.954	54.302	75.006	83.34	39.577	56.241	55.56
77.166	92.859	80.024	90.285	66.672	45.826	93.735	72.228
42.87	64.287	42.87	50.004	44.448	37.494	68.739	50.004
20.006	64.287	11.432	54.171	38.892	33.328	52.075	66.672
51.444	80.954	60.018	50.004	38.892	39.577	62.49	72.228
62.876	78.573	70.021	61.116	44.448	60.407	64.573	77.784
37.154	66.668	45.728	47.226	38.892	49.992	79.154	61.116
47.157	69.049	55.731	65.283	44.448	37.494	89.569	61.116
80.024	78.573	82.882	69.45	66.672	43.743	74.988	66.672
44.299	76.192	61.447	69.45	61.116	49.992	83.32	55.56
65.734	78.573	78.595	61.116	77.784	39.577	62.49	72.228
92.885	100.002	92.885	77.784	72.228	47.909	89.569	77.784
44.299	78.573	55.731	63.894	50.004	45.826	87.486	72.228
31.438	71.43	28.58	47.226	11.112	27.079	60.407	72.228
72.879	76.192	72.879	66.672	55.56	39.577	58.324	88.896
78.595	78.573	65.734	55.56	77.784	58.324	81.237	77.784
60.018	71.43	68.592	59.727	61.116	41.66	97.901	66.672
28.58	54.763	28.58	50.004	44.448	37.494	39.577	72.228
27.151	35.715	17.148	26.391	0	24.996	74.988	55.56
38.583	78.573	51.444	50.004	50.004	49.992	81.237	55.56
65.734	92.859	75.737	66.672	61.116	60.407	87.486	72.228
71.45	85.716	80.024	68.061	55.56	49.992	77.071	77.784
55.731	88.097	65.734	75.006	88.896	45.826	70.822	88.896
28.58	61.906	37.154	56.949	50.004	39.577	56.241	50.004
80.024	90.478	72.879	65.283	61.116	49.992	74.988	83.34
58.589	85.716	64.305	79.173	66.672	54.158	74.988	66.672
70.021	90.478	77.166	73.617	88.896	47.909	74.988	83.34
50.015	76.192	48.586	62.505	50.004	41.66	79.154	83.34
70.021	90.478	72.879	68.061	72.228	35.411	58.324	83.34
82.882	92.859	78.595	80.562	100.008	62.49	93.735	77.784
50.015	57.144	48.586	55.56	27.78	52.075	83.32	61.116
32.867	64.287	31.438	52.782	44.448	45.826	60.407	66.672
74.308	85.716	77.166	70.839	77.784	47.909	79.154	77.784
74.308	85.716	80.024	65.283	38.892	41.66	74.988	77.784
44.299	71.43	48.586	55.56	55.56	39.577	64.573	50.004
42.87	76.192	51.444	62.505	50.004	49.992	87.486	61.116
58.589	90.478	65.734	73.617	83.34	45.826	79.154	88.896
60.018	64.287	58.589	41.67	33.336	43.743	45.826	77.784
61.447	73.811	68.592	65.283	55.56	58.324	54.158	83.34
58.589	85.716	67.163	66.672	44.448	39.577	49.992	77.784
60.018	85.716	68.592	62.505	55.56	39.577	77.071	61.116
31.438	57.144	55.731	54.171	44.448	52.075	83.32	72.228
78.595	92.859	85.74	76.395	66.672	49.992	66.656	94.452
35.725	54.763	32.867	44.448	33.336	16.664	54.158	50.004
22.864	69.049	30.009	52.782	33.336	37.494	60.407	55.56
20.006	52.382	25.722	41.67	22.224	39.577	68.739	55.56
78.595	83.335	81.453	73.617	77.784	33.328	79.154	61.116
52.873	71.43	58.589	68.061	55.56	49.992	64.573	77.784
30.009	45.239	22.864	47.226	27.78	39.577	54.158	61.116
61.447	90.478	62.876	63.894	50.004	49.992	81.237	88.896
