TEST.1	TEST.2	TEST.3	GROUP
57.16	73.811	62.876	1
20.006	38.096	17.148	1
35.725	69.049	61.447	0
15.719	30.953	11.432	1
11.432	42.858	18.577	1
24.293	61.906	30.009	0
10.003	50.001	27.151	1
34.296	33.334	32.867	1
28.58	45.239	41.441	0
38.583	69.049	51.444	1
41.441	73.811	55.731	1
25.722	54.763	30.009	1
34.296	52.382	38.583	0
20.006	26.191	12.861	1
17.148	42.858	31.438	1
64.305	85.716	77.166	0
8.574	40.477	8.574	1
14.29	54.763	12.861	1
22.864	42.858	31.438	0
60.018	61.906	60.018	0
28.58	59.525	34.296	0
1.429	26.191	12.861	0
18.577	16.667	21.435	1
18.577	26.191	42.87	1
21.435	30.953	17.148	0
31.438	30.953	35.725	0
38.583	45.239	40.012	1
38.583	64.287	34.296	1
25.722	52.382	35.725	1
35.725	35.715	27.151	1
32.867	52.382	44.299	1
20.006	19.048	31.438	0
32.867	33.334	28.58	1
8.574	30.953	8.574	0
44.299	52.382	50.015	0
15.719	50.001	27.151	0
31.438	47.62	42.87	1
34.296	59.525	40.012	1
37.154	59.525	54.302	0
21.435	35.715	14.29	0
32.867	54.763	25.722	1
27.151	59.525	42.87	0
31.438	40.477	20.006	1
38.583	40.477	48.586	1
28.58	73.811	50.015	1
58.589	71.43	57.16	1
22.864	35.715	5.716	1
12.861	33.334	10.003	1
32.867	52.382	37.154	1
48.586	69.049	64.305	1
10.003	40.477	14.29	1
7.145	19.048	5.716	0
31.438	50.001	37.154	1
44.299	59.525	50.015	1
18.577	52.382	30.009	1
28.58	52.382	18.577	1
51.444	71.43	60.018	1
21.435	61.906	32.867	1
44.299	61.906	52.873	1
71.45	78.573	71.45	1
20.006	38.096	28.58	1
25.722	30.953	30.009	1
52.873	59.525	60.018	1
37.154	30.953	42.87	1
27.151	23.81	51.444	0
7.145	16.667	18.577	1
17.148	28.572	24.293	1
20.006	35.715	31.438	1
55.731	69.049	61.447	1
47.157	59.525	62.876	1
37.154	69.049	55.731	1
10.003	52.382	20.006	1
55.731	66.668	51.444	1
32.867	59.525	50.015	1
38.583	76.192	45.728	1
7.145	57.144	27.151	1
47.157	80.954	61.447	1
60.018	76.192	58.589	0
21.435	28.572	27.151	0
15.719	26.191	25.722	1
52.873	71.43	55.731	1
51.444	52.382	50.015	1
11.432	33.334	21.435	1
25.722	57.144	37.154	1
45.728	64.287	51.444	1
38.583	19.048	41.441	1
42.87	50.001	51.444	1
32.867	47.62	42.87	1
34.296	57.144	34.296	1
24.293	50.001	30.009	1
45.728	69.049	67.163	1
15.719	54.763	18.577	0
25.722	38.096	10.003	1
12.861	28.572	10.003	1
58.589	73.811	75.737	1
32.867	54.763	38.583	1
12.861	30.953	8.574	1
30.009	69.049	38.583	1
28.58	19.048	21.435	1
78.595	76.192	68.592	1
30.009	45.239	37.154	1
47.157	21.429	44.299	1
28.58	61.906	21.435	1
18.577	26.191	30.009	1
25.722	42.858	20.006	0
18.577	26.191	17.148	1
61.447	66.668	61.447	1
38.583	47.62	47.157	1
21.435	33.334	22.864	1
21.435	47.62	17.148	1
34.296	69.049	55.731	1
42.87	59.525	55.731	0
50.015	71.43	54.302	1
41.441	42.858	37.154	1
57.16	66.668	75.737	1
27.151	40.477	40.012	1
25.722	59.525	42.87	1
24.293	73.811	61.447	1
24.293	64.287	48.586	1
12.861	28.572	7.145	0
31.438	66.668	50.015	1
18.577	57.144	27.151	0
28.58	52.382	42.87	0
18.577	45.239	17.148	0
14.29	30.953	30.009	0
7.145	35.715	24.293	0
25.722	38.096	25.722	0
17.148	47.62	18.577	1
7.145	30.953	7.145	1
30.009	57.144	27.151	1
38.583	57.144	52.873	1
42.87	59.525	57.16	1
40.012	69.049	77.166	1
48.586	64.287	64.305	1
25.722	47.62	34.296	1
24.293	26.191	28.58	1
18.577	35.715	31.438	0
18.577	47.62	24.293	1
34.296	40.477	41.441	1
22.864	47.62	24.293	0
24.293	28.572	17.148	1
24.293	45.239	21.435	1
25.722	66.668	37.154	1
20.006	45.239	22.864	1
42.87	66.668	57.16	0
22.864	33.334	27.151	0
58.589	76.192	68.592	0
25.722	28.572	28.58	0
30.009	28.572	42.87	0
15.719	50.001	37.154	0
10.003	52.382	21.435	0
21.435	35.715	30.009	0
18.577	40.477	12.861	0
48.586	54.763	51.444	0
47.157	64.287	55.731	0
