test.1	test.2	test.3
57.16	73.811	62.876
20.006	38.096	17.148
35.725	69.049	61.447
15.719	30.953	11.432
11.432	42.858	18.577
24.293	61.906	30.009
10.003	50.001	27.151
34.296	33.334	32.867
28.58	45.239	41.441
38.583	69.049	51.444
41.441	73.811	55.731
25.722	54.763	30.009
34.296	52.382	38.583
20.006	26.191	12.861
17.148	42.858	31.438
64.305	85.716	77.166
8.574	40.477	8.574
14.29	54.763	12.861
22.864	42.858	31.438
60.018	61.906	60.018
28.58	59.525	34.296
1.429	26.191	12.861
18.577	16.667	21.435
18.577	26.191	42.87
21.435	30.953	17.148
31.438	30.953	35.725
38.583	45.239	40.012
38.583	64.287	34.296
25.722	52.382	35.725
35.725	35.715	27.151
32.867	52.382	44.299
20.006	19.048	31.438
32.867	33.334	28.58
8.574	30.953	8.574
44.299	52.382	50.015
15.719	50.001	27.151
31.438	47.62	42.87
34.296	59.525	40.012
37.154	59.525	54.302
21.435	35.715	14.29
32.867	54.763	25.722
27.151	59.525	42.87
31.438	40.477	20.006
38.583	40.477	48.586
28.58	73.811	50.015
58.589	71.43	57.16
22.864	35.715	5.716
12.861	33.334	10.003
32.867	52.382	37.154
48.586	69.049	64.305
10.003	40.477	14.29
7.145	19.048	5.716
31.438	50.001	37.154
44.299	59.525	50.015
18.577	52.382	30.009
28.58	52.382	18.577
51.444	71.43	60.018
21.435	61.906	32.867
44.299	61.906	52.873
71.45	78.573	71.45
20.006	38.096	28.58
25.722	30.953	30.009
52.873	59.525	60.018
37.154	30.953	42.87
27.151	23.81	51.444
7.145	16.667	18.577
17.148	28.572	24.293
20.006	35.715	31.438
55.731	69.049	61.447
47.157	59.525	62.876
37.154	69.049	55.731
10.003	52.382	20.006
55.731	66.668	51.444
32.867	59.525	50.015
38.583	76.192	45.728
7.145	57.144	27.151
47.157	80.954	61.447
60.018	76.192	58.589
21.435	28.572	27.151
15.719	26.191	25.722
52.873	71.43	55.731
51.444	52.382	50.015
11.432	33.334	21.435
25.722	57.144	37.154
45.728	64.287	51.444
38.583	19.048	41.441
42.87	50.001	51.444
32.867	47.62	42.87
34.296	57.144	34.296
24.293	50.001	30.009
45.728	69.049	67.163
15.719	54.763	18.577
25.722	38.096	10.003
12.861	28.572	10.003
58.589	73.811	75.737
32.867	54.763	38.583
12.861	30.953	8.574
30.009	69.049	38.583
28.58	19.048	21.435
78.595	76.192	68.592
30.009	45.239	37.154
47.157	21.429	44.299
28.58	61.906	21.435
18.577	26.191	30.009
25.722	42.858	20.006
18.577	26.191	17.148
61.447	66.668	61.447
38.583	47.62	47.157
21.435	33.334	22.864
21.435	47.62	17.148
34.296	69.049	55.731
42.87	59.525	55.731
50.015	71.43	54.302
41.441	42.858	37.154
57.16	66.668	75.737
27.151	40.477	40.012
25.722	59.525	42.87
24.293	73.811	61.447
24.293	64.287	48.586
12.861	28.572	7.145
31.438	66.668	50.015
18.577	57.144	27.151
28.58	52.382	42.87
18.577	45.239	17.148
14.29	30.953	30.009
7.145	35.715	24.293
25.722	38.096	25.722
17.148	47.62	18.577
7.145	30.953	7.145
30.009	57.144	27.151
38.583	57.144	52.873
42.87	59.525	57.16
40.012	69.049	77.166
48.586	64.287	64.305
25.722	47.62	34.296
24.293	26.191	28.58
18.577	35.715	31.438
18.577	47.62	24.293
34.296	40.477	41.441
22.864	47.62	24.293
24.293	28.572	17.148
24.293	45.239	21.435
25.722	66.668	37.154
20.006	45.239	22.864
42.87	66.668	57.16
22.864	33.334	27.151
58.589	76.192	68.592
25.722	28.572	28.58
30.009	28.572	42.87
15.719	50.001	37.154
