ir.1	ir.2	ir.3	ir.4	gender
57.16	74.308	68.592	67.163	1
20.006	27.151	37.154	25.722	1
35.725	64.305	67.163	60.018	0
15.719	40.012	48.586	38.583	1
11.432	35.725	31.438	35.725	1
24.293	42.87	47.157	38.583	0
10.003	22.864	24.293	25.722	1
34.296	40.012	54.302	47.157	1
28.58	52.873	54.302	42.87	0
38.583	64.305	65.734	61.447	1
41.441	70.021	85.74	74.308	1
25.722	50.015	55.731	52.873	1
34.296	52.873	57.16	58.589	0
20.006	21.435	15.719	21.435	1
17.148	37.154	35.725	40.012	1
64.305	88.598	90.027	91.456	0
8.574	24.293	25.722	20.006	1
14.29	24.293	34.296	25.722	1
22.864	51.444	41.441	44.299	0
60.018	61.447	65.734	58.589	0
28.58	42.87	54.302	50.015	0
1.429	12.861	17.148	10.003	0
18.577	37.154	42.87	22.864	1
18.577	40.012	41.441	50.015	1
21.435	18.577	20.006	21.435	0
31.438	31.438	15.719	20.006	0
38.583	64.305	54.302	55.731	1
38.583	61.447	62.876	57.16	1
25.722	41.441	67.163	47.157	1
35.725	34.296	28.58	31.438	1
32.867	52.873	67.163	62.876	1
20.006	30.009	38.583	30.009	0
32.867	38.583	52.873	38.583	1
8.574	10.003	0	5.716	0
44.299	71.45	67.163	68.592	0
15.719	48.586	42.87	37.154	0
31.438	64.305	62.876	61.447	1
34.296	62.876	58.589	61.447	1
37.154	68.592	68.592	60.018	0
21.435	12.861	17.148	15.719	0
32.867	52.873	61.447	65.734	1
27.151	45.728	51.444	52.873	0
31.438	52.873	45.728	47.157	1
38.583	48.586	62.876	57.16	1
28.58	64.305	58.589	55.731	1
58.589	72.879	62.876	68.592	1
22.864	18.577	18.577	24.293	1
12.861	25.722	44.299	38.583	1
32.867	44.299	48.586	34.296	1
48.586	67.163	77.166	72.879	1
10.003	38.583	42.87	35.725	1
7.145	12.861	20.006	17.148	0
31.438	50.015	51.444	50.015	1
44.299	67.163	62.876	61.447	1
18.577	34.296	37.154	40.012	1
28.58	47.157	47.157	54.302	1
51.444	71.45	80.024	67.163	1
21.435	35.725	44.299	44.299	1
44.299	54.302	65.734	68.592	1
71.45	84.311	92.885	88.598	1
20.006	50.015	44.299	44.299	1
25.722	30.009	31.438	25.722	1
52.873	62.876	72.879	67.163	1
37.154	70.021	78.595	64.305	1
27.151	57.16	60.018	47.157	0
7.145	21.435	28.58	22.864	1
17.148	27.151	27.151	17.148	1
20.006	30.009	38.583	48.586	1
55.731	64.305	65.734	70.021	1
47.157	72.879	71.45	70.021	1
37.154	64.305	55.731	61.447	1
10.003	31.438	28.58	24.293	1
55.731	74.308	80.024	74.308	1
32.867	52.873	58.589	42.87	1
38.583	67.163	70.021	68.592	1
7.145	47.157	50.015	42.87	1
47.157	68.592	70.021	62.876	1
60.018	82.882	82.882	77.166	0
21.435	50.015	50.015	40.012	0
15.719	27.151	32.867	22.864	1
52.873	68.592	74.308	62.876	1
51.444	64.305	74.308	68.592	1
11.432	42.87	44.299	31.438	1
25.722	45.728	42.87	47.157	1
45.728	47.157	58.589	62.876	1
38.583	42.87	60.018	57.16	1
42.87	61.447	61.447	62.876	1
32.867	57.16	58.589	47.157	1
34.296	61.447	60.018	67.163	1
24.293	31.438	31.438	37.154	1
45.728	81.453	78.595	78.595	1
15.719	37.154	35.725	21.435	0
25.722	38.583	22.864	28.58	1
12.861	25.722	20.006	25.722	1
58.589	71.45	78.595	80.024	1
32.867	58.589	52.873	72.879	1
12.861	27.151	30.009	30.009	1
30.009	58.589	61.447	61.447	1
28.58	45.728	45.728	42.87	1
78.595	82.882	82.882	80.024	1
30.009	52.873	58.589	37.154	1
47.157	55.731	54.302	52.873	1
28.58	32.867	37.154	24.293	1
18.577	24.293	32.867	38.583	1
25.722	48.586	45.728	50.015	0
18.577	15.719	15.719	14.29	1
61.447	75.737	68.592	77.166	1
38.583	54.302	50.015	52.873	1
21.435	35.725	35.725	25.722	1
21.435	31.438	50.015	38.583	1
34.296	68.592	72.879	67.163	1
42.87	61.447	60.018	67.163	0
50.015	72.879	72.879	78.595	1
41.441	42.87	50.015	41.441	1
57.16	78.595	82.882	78.595	1
27.151	54.302	50.015	57.16	1
25.722	54.302	54.302	40.012	1
24.293	60.018	62.876	54.302	1
24.293	52.873	51.444	35.725	1
12.861	18.577	21.435	28.58	0
31.438	67.163	74.308	72.879	1
18.577	52.873	48.586	35.725	0
28.58	57.16	48.586	44.299	0
18.577	27.151	27.151	22.864	0
14.29	52.873	51.444	48.586	0
7.145	21.435	32.867	28.58	0
25.722	44.299	51.444	40.012	0
17.148	40.012	41.441	51.444	1
7.145	17.148	28.58	28.58	1
30.009	57.16	54.302	61.447	1
38.583	58.589	61.447	57.16	1
42.87	51.444	64.305	62.876	1
40.012	75.737	75.737	78.595	1
48.586	87.169	88.598	80.024	1
25.722	50.015	51.444	55.731	1
24.293	41.441	40.012	44.299	1
18.577	41.441	48.586	41.441	0
18.577	38.583	55.731	44.299	1
34.296	68.592	64.305	64.305	1
22.864	45.728	51.444	50.015	0
24.293	27.151	37.154	30.009	1
24.293	22.864	31.438	31.438	1
25.722	54.302	50.015	30.009	1
20.006	60.018	60.018	41.441	1
42.87	70.021	84.311	57.16	0
22.864	32.867	35.725	34.296	0
58.589	67.163	71.45	80.024	0
25.722	38.583	41.441	25.722	0
30.009	52.873	61.447	61.447	0
15.719	32.867	34.296	40.012	0
10.003	32.867	28.58	37.154	0
21.435	37.154	38.583	41.441	0
18.577	15.719	20.006	12.861	0
48.586	62.876	64.305	45.728	0
47.157	64.305	64.305	77.166	0
42.87	77.166	70.021	71.45	0
30.009	47.157	45.728	45.728	0
27.151	52.873	58.589	47.157	0
52.873	64.305	62.876	60.018	0
47.157	70.021	78.595	77.166	0
40.012	50.015	55.731	57.16	1
