ir.1	ir.2	fr.2	cf.2	group	ir1.group
57.16	68.592	78.573	72.879	1	57.16
20.006	37.154	71.43	38.583	1	20.006
35.725	67.163	83.335	84.311	1	35.725
15.719	48.586	59.525	48.586	1	15.719
11.432	31.438	54.763	40.012	1	11.432
38.583	60.018	85.716	65.734	0	0
32.867	62.876	69.049	60.018	0	0
34.296	64.305	80.954	57.16	0	0
24.293	22.864	80.954	35.725	0	0
24.293	47.157	80.954	47.157	1	24.293
42.87	52.873	61.906	54.302	0	0
10.003	24.293	61.906	25.722	1	10.003
34.296	54.302	61.906	62.876	1	34.296
38.583	42.87	57.144	51.444	0	0
28.58	54.302	95.24	77.166	1	28.58
34.296	62.876	76.192	67.163	0	0
18.577	60.018	80.954	55.731	0	0
38.583	65.734	85.716	60.018	1	38.583
41.441	85.74	92.859	82.882	1	41.441
35.725	44.299	66.668	57.16	0	0
17.148	35.725	64.287	31.438	0	0
25.722	55.731	61.906	50.015	1	25.722
15.719	32.867	71.43	40.012	0	0
15.719	27.151	64.287	32.867	0	0
34.296	57.16	76.192	62.876	1	34.296
20.006	15.719	35.715	17.148	1	20.006
17.148	35.725	80.954	51.444	1	17.148
64.305	90.027	97.621	87.169	1	64.305
51.444	62.876	73.811	72.879	0	0
8.574	25.722	38.096	30.009	1	8.574
14.29	34.296	76.192	15.719	1	14.29
22.864	41.441	71.43	44.299	1	22.864
20.006	27.151	45.239	17.148	0	0
18.577	34.296	45.239	32.867	0	0
15.719	20.006	66.668	21.435	0	0
27.151	41.441	64.287	48.586	0	0
60.018	65.734	88.097	61.447	1	60.018
28.58	54.302	83.335	48.586	1	28.58
1.429	17.148	35.715	22.864	1	1.429
18.577	42.87	47.62	42.87	1	18.577
18.577	41.441	69.049	60.018	1	18.577
21.435	20.006	45.239	25.722	1	21.435
31.438	15.719	40.477	22.864	1	31.438
38.583	54.302	80.954	67.163	1	38.583
38.583	62.876	83.335	67.163	1	38.583
25.722	67.163	76.192	61.447	1	25.722
20.006	21.435	54.763	25.722	0	0
35.725	28.58	52.382	25.722	1	35.725
32.867	67.163	78.573	60.018	1	32.867
20.006	38.583	59.525	47.157	1	20.006
15.719	34.296	52.382	31.438	0	0
32.867	52.873	52.382	55.731	1	32.867
8.574	0	47.62	0	1	8.574
44.299	67.163	95.24	77.166	1	44.299
17.148	32.867	71.43	51.444	0	0
15.719	42.87	66.668	55.731	1	15.719
44.299	48.586	80.954	61.447	0	0
31.438	62.876	80.954	77.166	1	31.438
34.296	58.589	76.192	57.16	1	34.296
11.432	17.148	61.906	35.725	0	0
28.58	42.87	66.668	50.015	0	0
37.154	68.592	85.716	74.308	1	37.154
17.148	40.012	59.525	47.157	0	0
7.145	20.006	57.144	7.145	0	0
21.435	17.148	59.525	24.293	1	21.435
32.867	61.447	76.192	57.16	1	32.867
27.151	51.444	73.811	60.018	1	27.151
31.438	45.728	69.049	44.299	1	31.438
38.583	62.876	59.525	51.444	1	38.583
17.148	37.154	59.525	37.154	0	0
28.58	58.589	95.24	65.734	1	28.58
58.589	62.876	76.192	58.589	1	58.589
52.873	70.021	83.335	82.882	0	0
18.577	54.302	73.811	50.015	0	0
22.864	18.577	57.144	27.151	1	22.864
12.861	44.299	54.763	50.015	1	12.861
31.438	42.87	71.43	42.87	0	0
30.009	52.873	80.954	64.305	0	0
27.151	50.015	76.192	68.592	0	0
32.867	48.586	80.954	54.302	1	32.867
48.586	77.166	92.859	80.024	1	48.586
10.003	42.87	64.287	42.87	1	10.003
7.145	20.006	64.287	11.432	1	7.145
31.438	51.444	80.954	60.018	1	31.438
44.299	62.876	78.573	70.021	1	44.299
18.577	37.154	66.668	45.728	1	18.577
28.58	47.157	69.049	55.731	1	28.58
51.444	80.024	78.573	82.882	1	51.444
17.148	31.438	76.192	40.012	0	0
35.725	50.015	73.811	54.302	0	0
21.435	44.299	76.192	61.447	1	21.435
44.299	65.734	78.573	78.595	1	44.299
71.45	92.885	100.002	92.885	1	71.45
20.006	44.299	78.573	55.731	1	20.006
17.148	31.438	66.668	45.728	0	0
25.722	31.438	71.43	28.58	1	25.722
52.873	72.879	76.192	72.879	1	52.873
37.154	78.595	78.573	65.734	1	37.154
27.151	60.018	71.43	68.592	1	27.151
7.145	28.58	54.763	28.58	1	7.145
24.293	45.728	78.573	57.16	0	0
17.148	27.151	35.715	17.148	1	17.148
18.577	41.441	69.049	51.444	0	0
20.006	38.583	78.573	51.444	1	20.006
55.731	65.734	92.859	75.737	1	55.731
17.148	28.58	69.049	30.009	0	0
20.006	47.157	64.287	52.873	0	0
47.157	71.45	85.716	80.024	1	47.157
7.145	25.722	42.858	25.722	0	0
37.154	55.731	88.097	65.734	1	37.154
47.157	78.595	76.192	74.308	0	0
10.003	28.58	61.906	37.154	1	10.003
55.731	80.024	90.478	72.879	1	55.731
32.867	58.589	85.716	64.305	1	32.867
38.583	70.021	90.478	77.166	1	38.583
7.145	50.015	76.192	48.586	1	7.145
18.577	28.58	30.953	25.722	0	0
31.438	34.296	64.287	24.293	0	0
57.16	65.734	95.24	85.74	0	0
47.157	70.021	90.478	72.879	1	47.157
60.018	82.882	92.859	78.595	1	60.018
55.731	60.018	76.192	44.299	0	0
34.296	45.728	71.43	37.154	0	0
21.435	50.015	57.144	48.586	1	21.435
15.719	32.867	64.287	31.438	1	15.719
52.873	74.308	85.716	77.166	1	52.873
51.444	74.308	85.716	80.024	1	51.444
11.432	44.299	71.43	48.586	1	11.432
25.722	42.87	76.192	51.444	1	25.722
45.728	58.589	90.478	65.734	1	45.728
38.583	60.018	64.287	58.589	1	38.583
42.87	61.447	73.811	68.592	1	42.87
37.154	45.728	64.287	62.876	0	0
40.012	54.302	64.287	64.305	0	0
32.867	58.589	85.716	67.163	1	32.867
34.296	60.018	85.716	68.592	1	34.296
24.293	31.438	57.144	55.731	1	24.293
30.009	41.441	69.049	34.296	0	0
45.728	78.595	92.859	85.74	1	45.728
48.586	72.879	80.954	74.308	0	0
54.302	57.16	69.049	72.879	0	0
15.719	35.725	54.763	32.867	1	15.719
25.722	22.864	69.049	30.009	1	25.722
12.861	20.006	52.382	25.722	1	12.861
58.589	78.595	83.335	81.453	1	58.589
32.867	52.873	71.43	58.589	1	32.867
17.148	27.151	50.001	14.29	0	0
45.728	57.16	76.192	70.021	0	0
47.157	55.731	71.43	74.308	0	0
12.861	30.009	45.239	22.864	1	12.861
30.009	61.447	90.478	62.876	1	30.009
28.58	45.728	54.763	37.154	1	28.58
78.595	82.882	95.24	92.885	1	78.595
30.009	58.589	69.049	54.302	1	30.009
47.157	54.302	78.573	60.018	1	47.157
28.58	37.154	59.525	42.87	1	28.58
20.006	27.151	42.858	20.006	0	0
18.577	32.867	69.049	34.296	1	18.577
12.861	22.864	57.144	30.009	0	0
25.722	35.725	47.62	45.728	0	0
25.722	45.728	78.573	52.873	1	25.722
18.577	15.719	69.049	22.864	1	18.577
65.734	78.595	76.192	85.74	0	0
30.009	40.012	76.192	35.725	0	0
61.447	68.592	85.716	78.595	1	61.447
38.583	50.015	71.43	55.731	1	38.583
21.435	35.725	66.668	41.441	1	21.435
21.435	50.015	76.192	51.444	1	21.435
8.574	5.716	11.905	4.287	0	0
34.296	72.879	100.002	80.024	1	34.296
27.151	65.734	85.716	65.734	0	0
42.87	60.018	92.859	60.018	1	42.87
50.015	72.879	90.478	87.169	1	50.015
41.441	50.015	80.954	44.299	1	41.441
57.16	82.882	85.716	90.027	1	57.16
74.308	90.027	85.716	87.169	0	0
27.151	50.015	85.716	60.018	1	27.151
51.444	77.166	69.049	70.021	0	0
25.722	54.302	78.573	74.308	1	25.722
24.293	62.876	83.335	52.873	1	24.293
24.293	51.444	85.716	55.731	1	24.293
12.861	21.435	57.144	28.58	1	12.861
