IR.LETT	FIG.REL	IR.SYMB	CULT.FR	RAVEN
57.16	73.811	62.876	72.228	66.672
20.006	38.096	17.148	43.059	38.892
35.725	69.049	61.447	63.894	61.116
15.719	30.953	11.432	30.558	16.668
11.432	42.858	18.577	45.837	22.224
24.293	61.906	30.009	51.393	44.448
10.003	50.001	27.151	40.281	44.448
34.296	33.334	32.867	47.226	22.224
28.58	45.239	41.441	47.226	27.78
38.583	69.049	51.444	56.949	83.34
41.441	73.811	55.731	63.894	50.004
25.722	54.763	30.009	41.67	16.668
34.296	52.382	38.583	52.782	16.668
20.006	26.191	12.861	27.78	16.668
17.148	42.858	31.438	43.059	44.448
64.305	85.716	77.166	69.45	83.34
8.574	40.477	8.574	30.558	16.668
14.29	54.763	12.861	41.67	22.224
22.864	42.858	31.438	48.615	16.668
60.018	61.906	60.018	59.727	55.56
28.58	59.525	34.296	50.004	50.004
1.429	26.191	12.861	19.446	16.668
18.577	16.667	21.435	33.336	0
18.577	26.191	42.87	50.004	33.336
21.435	30.953	17.148	27.78	5.556
31.438	30.953	35.725	50.004	11.112
38.583	45.239	40.012	54.171	38.892
38.583	64.287	34.296	58.338	33.336
25.722	52.382	35.725	48.615	38.892
35.725	35.715	27.151	23.613	38.892
32.867	52.382	44.299	55.56	38.892
20.006	19.048	31.438	45.837	22.224
32.867	33.334	28.58	44.448	27.78
8.574	30.953	8.574	36.114	16.668
44.299	52.382	50.015	58.338	77.784
15.719	50.001	27.151	34.725	33.336
31.438	47.62	42.87	51.393	27.78
34.296	59.525	40.012	50.004	33.336
37.154	59.525	54.302	59.727	50.004
21.435	35.715	14.29	37.503	22.224
32.867	54.763	25.722	40.281	22.224
27.151	59.525	42.87	58.338	50.004
31.438	40.477	20.006	33.336	22.224
38.583	40.477	48.586	41.67	16.668
28.58	73.811	50.015	52.782	55.56
58.589	71.43	57.16	52.782	33.336
22.864	35.715	5.716	30.558	27.78
12.861	33.334	10.003	43.059	22.224
32.867	52.382	37.154	62.505	66.672
48.586	69.049	64.305	77.784	77.784
10.003	40.477	14.29	45.837	27.78
7.145	19.048	5.716	36.114	11.112
31.438	50.001	37.154	45.837	27.78
44.299	59.525	50.015	58.338	27.78
18.577	52.382	30.009	47.226	0
28.58	52.382	18.577	44.448	27.78
51.444	71.43	60.018	59.727	44.448
21.435	61.906	32.867	56.949	38.892
44.299	61.906	52.873	48.615	33.336
71.45	78.573	71.45	69.45	66.672
20.006	38.096	28.58	47.226	38.892
25.722	30.953	30.009	29.169	22.224
52.873	59.525	60.018	47.226	50.004
37.154	30.953	42.87	34.725	55.56
27.151	23.81	51.444	16.668	55.56
7.145	16.667	18.577	29.169	16.668
17.148	28.572	24.293	19.446	0
20.006	35.715	31.438	47.226	16.668
55.731	69.049	61.447	51.393	66.672
47.157	59.525	62.876	63.894	16.668
37.154	69.049	55.731	52.782	72.228
10.003	52.382	20.006	48.615	27.78
55.731	66.668	51.444	59.727	61.116
32.867	59.525	50.015	54.171	55.56
38.583	76.192	45.728	58.338	88.896
7.145	57.144	27.151	48.615	33.336
47.157	80.954	61.447	68.061	55.56
60.018	76.192	58.589	65.283	77.784
21.435	28.572	27.151	40.281	16.668
15.719	26.191	25.722	22.224	38.892
52.873	71.43	55.731	56.949	50.004
51.444	52.382	50.015	50.004	55.56
11.432	33.334	21.435	47.226	16.668
25.722	57.144	37.154	55.56	50.004
45.728	64.287	51.444	65.283	44.448
38.583	19.048	41.441	29.169	44.448
42.87	50.001	51.444	56.949	61.116
32.867	47.62	42.87	48.615	16.668
34.296	57.144	34.296	50.004	50.004
24.293	50.001	30.009	38.892	38.892
45.728	69.049	67.163	59.727	66.672
15.719	54.763	18.577	25.002	27.78
25.722	38.096	10.003	55.56	44.448
12.861	28.572	10.003	40.281	33.336
58.589	73.811	75.737	66.672	61.116
32.867	54.763	38.583	43.059	38.892
12.861	30.953	8.574	29.169	16.668
30.009	69.049	38.583	52.782	55.56
28.58	19.048	21.435	29.169	11.112
78.595	76.192	68.592	70.839	72.228
30.009	45.239	37.154	50.004	16.668
47.157	21.429	44.299	56.949	33.336
28.58	61.906	21.435	36.114	22.224
18.577	26.191	30.009	27.78	22.224
25.722	42.858	20.006	45.837	38.892
18.577	26.191	17.148	37.503	27.78
61.447	66.668	61.447	65.283	61.116
38.583	47.62	47.157	59.727	55.56
21.435	33.334	22.864	44.448	27.78
21.435	47.62	17.148	48.615	27.78
34.296	69.049	55.731	56.949	66.672
42.87	59.525	55.731	59.727	38.892
50.015	71.43	54.302	70.839	27.78
41.441	42.858	37.154	33.336	5.556
57.16	66.668	75.737	56.949	38.892
27.151	40.477	40.012	47.226	33.336
25.722	59.525	42.87	58.338	38.892
24.293	73.811	61.447	58.338	66.672
24.293	64.287	48.586	61.116	44.448
12.861	28.572	7.145	29.169	5.556
31.438	66.668	50.015	58.338	22.224
18.577	57.144	27.151	44.448	27.78
28.58	52.382	42.87	58.338	27.78
18.577	45.239	17.148	37.503	16.668
14.29	30.953	30.009	41.67	5.556
7.145	35.715	24.293	26.391	16.668
25.722	38.096	25.722	38.892	38.892
17.148	47.62	18.577	38.892	27.78
7.145	30.953	7.145	36.114	22.224
30.009	57.144	27.151	51.393	55.56
38.583	57.144	52.873	62.505	50.004
42.87	59.525	57.16	55.56	22.224
40.012	69.049	77.166	84.729	83.34
48.586	64.287	64.305	65.283	61.116
25.722	47.62	34.296	54.171	66.672
24.293	26.191	28.58	47.226	27.78
18.577	35.715	31.438	44.448	22.224
18.577	47.62	24.293	38.892	55.56
34.296	40.477	41.441	51.393	38.892
22.864	47.62	24.293	43.059	11.112
24.293	28.572	17.148	43.059	38.892
24.293	45.239	21.435	29.169	5.556
25.722	66.668	37.154	51.393	38.892
20.006	45.239	22.864	45.837	16.668
42.87	66.668	57.16	63.894	55.56
22.864	33.334	27.151	34.725	22.224
58.589	76.192	68.592	68.061	55.56
25.722	28.572	28.58	38.892	11.112
30.009	28.572	42.87	43.059	44.448
15.719	50.001	37.154	45.837	22.224
10.003	52.382	21.435	51.393	0
21.435	35.715	30.009	50.004	38.892
18.577	40.477	12.861	37.503	27.78
48.586	54.763	51.444	54.171	66.672
47.157	64.287	55.731	61.116	55.56
42.87	64.287	55.731	58.338	72.228
30.009	50.001	40.012	45.837	55.56
27.151	50.001	37.154	52.782	44.448
52.873	57.144	57.16	68.061	66.672
47.157	57.144	62.876	61.116	44.448
40.012	59.525	48.586	55.56	50.004
