V1	V2	V3	V4	V5	V6	V7	V8	V9
-.378137	.075915	-.628122	-.880031	-2.703582	.789551	.369423	.677648	1.859321
1.118025	1.753512	2.177334	.642068	1.722	.127374	-.324017	.634312	.178495
.194822	-.600631	-1.481951	-.311791	-2.044864	-1.113667	-.631615	-1.034981	-.005553
1.491893	-.223519	-.395545	.939834	.600019	2.82459	-1.966773	-.725317	.213275
-.441761	-.44765	1.082701	-.64752	.66989	.576646	.001154	-.198322	-.797221
1.138741	.517782	.134229	.198726	1.47979	1.516361	-1.42481	2.138859	1.618482
1.152172	-.824419	-.275701	.018443	.641651	-.416675	-.195963	-.687726	-.10198
-.800556	-.541102	-.439134	2.384051	.51581	-.469662	.171013	.302827	-.353378
-1.16512	-.758964	1.014575	.093293	.463495	.194117	1.288308	.104224	1.578489
.948718	.540606	-.012073	-.775103	-1.236087	.024158	.003593	-.10329	1.278619
-2.30408	-.165923	.365356	-.692319	-.051887	.252218	-1.016032	-.462775	-.784571
1.411783	2.157774	.688989	-.007625	.767466	.676582	.100804	-.078657	-1.343141
1.636942	.840532	.26124	-.050454	-.123937	1.225114	-.218937	-.22533	.406048
-1.611593	.126856	-.915086	-1.071253	-.875596	.1322	.879467	1.207311	-.36878
.430776	-.033941	.687329	.813981	.233469	1.267578	-2.798567	-.388832	-.630948
1.747475	1.275529	1.244915	-.68128	.113537	-.262647	1.241018	-.530037	-.260765
.906344	.103272	.121836	-.192402	-1.820353	-2.471676	-1.490987	1.399481	-1.295211
.785583	.848054	-.229528	-1.757056	1.031028	-.077899	.516497	.34617	-.828774
1.060095	1.221176	.188316	-1.684174	-1.38386	-.851036	.020574	.953569	-.222552
-.520763	-.901598	-1.605147	-.245181	.548502	.884729	-.219912	1.402037	.539609
-.54937	-.292237	.625577	.261171	-.167689	-.220977	.221677	.604256	1.058377
.268107	.168404	1.130271	.600931	1.878766	.998516	.47532	.460477	.969277
-.505703	-.371151	2.228659	-.601204	-.951903	-1.118687	.307231	1.033624	.798218
-.747776	.059141	-1.126567	-.619035	-.482895	-1.284876	1.411062	.464644	-.530517
.180489	-.553464	-1.170838	-.012897	-.452267	-.558143	-2.48096	-1.958039	-.381796
1.079749	1.680601	.637503	-.502614	.829975	-.030904	1.49034	1.461479	2.041719
.366132	1.124289	1.153016	-.467853	-1.194592	-.060236	-.619629	1.066893	-1.409973
.487754	-.41543	-.20344	2.178638	1.049521	1.640439	-.537641	-1.705604	-.96607
1.086637	1.533995	1.539818	-.846693	-.600477	-.833801	1.587014	1.017031	1.757527
-1.069333	-1.286102	-.736082	-.084282	.321866	1.558561	.838095	.977416	.244134
-1.421241	-.674211	-2.025635	.550518	1.346942	-.463702	.779068	1.094533	-.787275
