ir.1	ir.2	group
57.16	74.308	1
20.006	27.151	1
35.725	64.305	1
15.719	40.012	1
11.432	35.725	1
38.583	55.731	0
32.867	52.873	0
34.296	58.589	0
24.293	25.722	0
24.293	42.87	1
42.87	48.586	0
10.003	22.864	1
34.296	40.012	1
38.583	34.296	0
28.58	52.873	1
34.296	61.447	0
18.577	48.586	0
38.583	64.305	1
41.441	70.021	1
35.725	45.728	0
17.148	22.864	0
25.722	50.015	1
15.719	21.435	0
15.719	24.293	0
34.296	52.873	1
20.006	21.435	1
17.148	37.154	1
64.305	88.598	1
51.444	68.592	0
8.574	24.293	1
14.29	24.293	1
22.864	51.444	1
20.006	31.438	0
18.577	25.722	0
15.719	38.583	0
27.151	32.867	0
60.018	61.447	1
28.58	42.87	1
1.429	12.861	1
18.577	37.154	1
18.577	40.012	1
21.435	18.577	1
31.438	31.438	1
38.583	64.305	1
38.583	61.447	1
25.722	41.441	1
20.006	18.577	0
35.725	34.296	1
32.867	52.873	1
20.006	30.009	1
15.719	28.58	0
32.867	38.583	1
8.574	10.003	1
44.299	71.45	1
17.148	28.58	0
15.719	48.586	1
44.299	51.444	0
31.438	64.305	1
34.296	62.876	1
11.432	25.722	0
28.58	44.299	0
37.154	68.592	1
17.148	34.296	0
7.145	10.003	0
21.435	12.861	1
32.867	52.873	1
27.151	45.728	1
31.438	52.873	1
38.583	48.586	1
17.148	30.009	0
28.58	64.305	1
58.589	72.879	1
52.873	72.879	0
18.577	41.441	0
22.864	18.577	1
12.861	25.722	1
31.438	44.299	0
30.009	52.873	0
27.151	47.157	0
32.867	44.299	1
48.586	67.163	1
10.003	38.583	1
7.145	12.861	1
31.438	50.015	1
44.299	67.163	1
18.577	34.296	1
28.58	47.157	1
51.444	71.45	1
17.148	22.864	0
35.725	50.015	0
21.435	35.725	1
44.299	54.302	1
71.45	84.311	1
20.006	50.015	1
17.148	25.722	0
25.722	30.009	1
52.873	62.876	1
37.154	70.021	1
27.151	57.16	1
7.145	21.435	1
24.293	41.441	0
17.148	27.151	1
18.577	34.296	0
20.006	30.009	1
55.731	64.305	1
17.148	24.293	0
20.006	45.728	0
47.157	72.879	1
7.145	27.151	0
37.154	64.305	1
47.157	72.879	0
10.003	31.438	1
55.731	74.308	1
32.867	52.873	1
38.583	67.163	1
7.145	47.157	1
18.577	22.864	0
31.438	22.864	0
57.16	51.444	0
47.157	68.592	1
60.018	82.882	1
55.731	57.16	0
34.296	45.728	0
21.435	50.015	1
15.719	27.151	1
52.873	68.592	1
51.444	64.305	1
11.432	42.87	1
25.722	45.728	1
45.728	47.157	1
38.583	42.87	1
42.87	61.447	1
37.154	40.012	0
40.012	50.015	0
32.867	57.16	1
34.296	61.447	1
24.293	31.438	1
30.009	34.296	0
45.728	81.453	1
48.586	65.734	0
54.302	54.302	0
15.719	37.154	1
25.722	38.583	1
12.861	25.722	1
58.589	71.45	1
32.867	58.589	1
17.148	21.435	0
45.728	62.876	0
47.157	57.16	0
12.861	27.151	1
30.009	58.589	1
28.58	45.728	1
78.595	82.882	1
30.009	52.873	1
47.157	55.731	1
28.58	32.867	1
20.006	27.151	0
18.577	24.293	1
12.861	24.293	0
25.722	30.009	0
25.722	48.586	1
18.577	15.719	1
65.734	80.024	0
30.009	50.015	0
61.447	75.737	1
38.583	54.302	1
21.435	35.725	1
21.435	31.438	1
8.574	8.574	0
34.296	68.592	1
27.151	58.589	0
42.87	61.447	1
50.015	72.879	1
41.441	42.87	1
57.16	78.595	1
74.308	84.311	0
27.151	54.302	1
51.444	62.876	0
25.722	54.302	1
24.293	60.018	1
24.293	52.873	1
12.861	18.577	1
31.438	67.163	1
18.577	52.873	1
20.006	31.438	0
28.58	57.16	1
0	7.145	0
18.577	27.151	1
14.29	52.873	1
45.728	51.444	0
7.145	21.435	1
47.157	67.163	0
38.583	67.163	0
25.722	44.299	1
18.577	18.577	0
17.148	40.012	1
7.145	17.148	1
30.009	57.16	1
17.148	41.441	0
38.583	58.589	1
18.577	11.432	0
18.577	30.009	0
42.87	51.444	1
40.012	75.737	1
48.586	87.169	1
25.722	50.015	1
24.293	41.441	1
20.006	21.435	0
37.154	64.305	0
18.577	41.441	1
18.577	38.583	1
34.296	68.592	1
22.864	45.728	1
11.432	17.148	0
38.583	41.441	0
28.58	60.018	0
24.293	27.151	1
24.293	22.864	1
25.722	54.302	1
20.006	60.018	1
42.87	70.021	1
22.864	32.867	1
58.589	67.163	1
25.722	38.583	1
30.009	52.873	1
52.873	71.45	0
37.154	61.447	0
15.719	32.867	1
47.157	38.583	0
10.003	32.867	1
22.864	30.009	0
42.87	55.731	0
35.725	40.012	0
47.157	50.015	0
40.012	48.586	0
21.435	37.154	1
18.577	15.719	1
14.29	22.864	0
48.586	62.876	1
47.157	64.305	1
42.87	77.166	1
30.009	47.157	1
27.151	52.873	1
52.873	64.305	1
21.435	25.722	0
47.157	70.021	1
40.012	50.015	1
38.583	52.873	0
