ir	fr	cf	group
68.592	78.573	72.879	1
37.154	71.43	38.583	1
67.163	83.335	84.311	1
48.586	59.525	48.586	1
31.438	54.763	40.012	1
60.018	85.716	65.734	0
62.876	69.049	60.018	0
64.305	80.954	57.16	0
22.864	80.954	35.725	0
47.157	80.954	47.157	1
52.873	61.906	54.302	0
24.293	61.906	25.722	1
54.302	61.906	62.876	1
42.87	57.144	51.444	0
54.302	95.24	77.166	1
62.876	76.192	67.163	0
60.018	80.954	55.731	0
65.734	85.716	60.018	1
85.74	92.859	82.882	1
44.299	66.668	57.16	0
35.725	64.287	31.438	0
55.731	61.906	50.015	1
32.867	71.43	40.012	0
27.151	64.287	32.867	0
57.16	76.192	62.876	1
15.719	35.715	17.148	1
35.725	80.954	51.444	1
90.027	97.621	87.169	1
62.876	73.811	72.879	0
25.722	38.096	30.009	1
34.296	76.192	15.719	1
41.441	71.43	44.299	1
27.151	45.239	17.148	0
34.296	45.239	32.867	0
20.006	66.668	21.435	0
41.441	64.287	48.586	0
65.734	88.097	61.447	1
54.302	83.335	48.586	1
17.148	35.715	22.864	1
42.87	47.62	42.87	1
41.441	69.049	60.018	1
20.006	45.239	25.722	1
15.719	40.477	22.864	1
54.302	80.954	67.163	1
62.876	83.335	67.163	1
67.163	76.192	61.447	1
21.435	54.763	25.722	0
28.58	52.382	25.722	1
67.163	78.573	60.018	1
38.583	59.525	47.157	1
34.296	52.382	31.438	0
52.873	52.382	55.731	1
0	47.62	0	1
67.163	95.24	77.166	1
32.867	71.43	51.444	0
42.87	66.668	55.731	1
48.586	80.954	61.447	0
62.876	80.954	77.166	1
58.589	76.192	57.16	1
17.148	61.906	35.725	0
42.87	66.668	50.015	0
68.592	85.716	74.308	1
40.012	59.525	47.157	0
20.006	57.144	7.145	0
17.148	59.525	24.293	1
61.447	76.192	57.16	1
51.444	73.811	60.018	1
45.728	69.049	44.299	1
62.876	59.525	51.444	1
37.154	59.525	37.154	0
58.589	95.24	65.734	1
62.876	76.192	58.589	1
70.021	83.335	82.882	0
54.302	73.811	50.015	0
18.577	57.144	27.151	1
44.299	54.763	50.015	1
42.87	71.43	42.87	0
52.873	80.954	64.305	0
50.015	76.192	68.592	0
48.586	80.954	54.302	1
77.166	92.859	80.024	1
42.87	64.287	42.87	1
20.006	64.287	11.432	1
51.444	80.954	60.018	1
62.876	78.573	70.021	1
37.154	66.668	45.728	1
47.157	69.049	55.731	1
80.024	78.573	82.882	1
31.438	76.192	40.012	0
50.015	73.811	54.302	0
44.299	76.192	61.447	1
65.734	78.573	78.595	1
92.885	100.002	92.885	1
44.299	78.573	55.731	1
31.438	66.668	45.728	0
31.438	71.43	28.58	1
72.879	76.192	72.879	1
78.595	78.573	65.734	1
60.018	71.43	68.592	1
28.58	54.763	28.58	1
45.728	78.573	57.16	0
27.151	35.715	17.148	1
41.441	69.049	51.444	0
38.583	78.573	51.444	1
65.734	92.859	75.737	1
28.58	69.049	30.009	0
47.157	64.287	52.873	0
71.45	85.716	80.024	1
25.722	42.858	25.722	0
55.731	88.097	65.734	1
78.595	76.192	74.308	0
28.58	61.906	37.154	1
80.024	90.478	72.879	1
58.589	85.716	64.305	1
70.021	90.478	77.166	1
50.015	76.192	48.586	1
28.58	30.953	25.722	0
34.296	64.287	24.293	0
65.734	95.24	85.74	0
70.021	90.478	72.879	1
82.882	92.859	78.595	1
60.018	76.192	44.299	0
45.728	71.43	37.154	0
50.015	57.144	48.586	1
32.867	64.287	31.438	1
74.308	85.716	77.166	1
74.308	85.716	80.024	1
44.299	71.43	48.586	1
42.87	76.192	51.444	1
58.589	90.478	65.734	1
60.018	64.287	58.589	1
61.447	73.811	68.592	1
45.728	64.287	62.876	0
54.302	64.287	64.305	0
58.589	85.716	67.163	1
60.018	85.716	68.592	1
31.438	57.144	55.731	1
41.441	69.049	34.296	0
78.595	92.859	85.74	1
72.879	80.954	74.308	0
57.16	69.049	72.879	0
35.725	54.763	32.867	1
22.864	69.049	30.009	1
20.006	52.382	25.722	1
78.595	83.335	81.453	1
52.873	71.43	58.589	1
27.151	50.001	14.29	0
57.16	76.192	70.021	0
55.731	71.43	74.308	0
30.009	45.239	22.864	1
61.447	90.478	62.876	1
45.728	54.763	37.154	1
82.882	95.24	92.885	1
58.589	69.049	54.302	1
54.302	78.573	60.018	1
37.154	59.525	42.87	1
27.151	42.858	20.006	0
32.867	69.049	34.296	1
22.864	57.144	30.009	0
35.725	47.62	45.728	0
45.728	78.573	52.873	1
15.719	69.049	22.864	1
78.595	76.192	85.74	0
40.012	76.192	35.725	0
68.592	85.716	78.595	1
50.015	71.43	55.731	1
35.725	66.668	41.441	1
50.015	76.192	51.444	1
5.716	11.905	4.287	0
72.879	100.002	80.024	1
65.734	85.716	65.734	0
60.018	92.859	60.018	1
72.879	90.478	87.169	1
50.015	80.954	44.299	1
82.882	85.716	90.027	1
90.027	85.716	87.169	0
50.015	85.716	60.018	1
77.166	69.049	70.021	0
54.302	78.573	74.308	1
62.876	83.335	52.873	1
51.444	85.716	55.731	1
21.435	57.144	28.58	1
74.308	92.859	64.305	1
48.586	78.573	51.444	1
30.009	64.287	54.302	0
48.586	71.43	48.586	1
20.006	40.477	10.003	0
27.151	50.001	35.725	1
51.444	52.382	41.441	1
52.873	64.287	54.302	0
32.867	42.858	18.577	1
68.592	78.573	61.447	0
54.302	73.811	62.876	0
51.444	64.287	41.441	1
21.435	28.572	27.151	0
41.441	66.668	50.015	1
28.58	66.668	24.293	1
54.302	80.954	67.163	1
40.012	80.954	48.586	0
61.447	85.716	74.308	1
24.293	40.477	15.719	0
50.015	50.001	28.58	0
64.305	61.906	57.16	1
75.737	92.859	82.882	1
88.598	92.859	91.456	1
51.444	66.668	42.87	1
40.012	69.049	51.444	1
24.293	64.287	17.148	0
58.589	71.43	77.166	0
48.586	64.287	58.589	1
55.731	71.43	60.018	1
64.305	76.192	58.589	1
51.444	54.763	34.296	1
14.29	47.62	20.006	0
37.154	59.525	45.728	0
54.302	76.192	55.731	0
37.154	57.144	27.151	1
31.438	66.668	25.722	1
50.015	88.097	58.589	1
60.018	69.049	67.163	1
84.311	92.859	71.45	1
35.725	73.811	47.157	1
71.45	78.573	82.882	1
41.441	57.144	38.583	1
61.447	71.43	64.305	1
75.737	61.906	75.737	0
74.308	71.43	70.021	0
34.296	88.097	44.299	1
48.586	88.097	60.018	0
28.58	69.049	31.438	1
22.864	71.43	38.583	0
51.444	85.716	52.873	0
55.731	52.382	50.015	0
62.876	88.097	65.734	0
57.16	83.335	50.015	0
38.583	71.43	22.864	1
20.006	47.62	14.29	1
12.861	33.334	20.006	0
64.305	83.335	67.163	1
64.305	83.335	68.592	1
70.021	78.573	77.166	1
45.728	90.478	62.876	1
58.589	69.049	52.873	1
62.876	83.335	75.737	1
25.722	50.001	17.148	0
78.595	80.954	78.595	1
55.731	76.192	67.163	1
61.447	71.43	68.592	0
