ability.1	ability.2	ability.3	ed.motiv.1	ed.motiv.2	ed.motiv.3
-.893238	-1.465911	-.025422	-.790246	1.614896	.112675
2.109855	-.286183	-.531977	1.329126	.715508	3.715
-2.781437	-1.055771	.261856	-.914704	.118006	-1.416829
-.624744	-.637184	1.50825	-.915731	.934784	.719923
.001633	-.278615	-1.119591	.39693	-.406014	-.107708
1.610423	.74873	.210555	.28104	1.934411	1.859838
-2.014985	2.978433	2.261921	-2.149011	-.922238	.212327
1.629417	-1.136773	-.373675	.026082	.844206	-.645525
-.277133	-.969894	-.151097	.007361	-1.86713	-1.062988
-1.132158	-.775181	-.632858	3.371557	.488807	-.786939
.241849	.428657	-.490727	.321737	-1.636101	-.649463
-1.647729	-1.088077	1.398665	.131937	.603402	.20117
1.821943	.170485	2.235855	1.666424	-1.317743	.236065
1.341689	.777249	.002399	-1.096161	-1.567033	.216169
.005081	-.145052	1.792767	.755825	1.297869	3.197546
-3.258462	-.276136	.473599	-.979087	-.012914	.373042
-1.436887	-.669156	-1.120353	-1.593696	-1.348776	.261751
1.996562	3.05797	1.004717	-.010784	1.012115	.819836
.142558	-.108629	-1.882843	.425273	-1.401086	-.437918
2.314986	1.211486	.399132	-.071352	-.159304	1.676182
-.309624	-.320671	.564366	-1.364656	1.791742	.19097
-2.279137	.14814	-1.309001	-1.514981	-1.068184	.327824
1.243754	1.712657	-.494359	-2.358334	-.188092	-1.137105
.60921	-.039643	.97088	1.151143	.242488	1.657489
-3.957772	-.598549	-.933513	-1.703763	.370515	-1.744662
2.471302	1.824709	1.783747	-.963475	.204227	-.345272
1.755064	-.721516	-.349195	.897226	1.979753	.829688
1.281765	.162017	.186446	-.272097	-2.383772	-3.110711
-2.108574	1.938392	-1.831227	-.932166	-1.848077	-3.302243
1.110982	1.20616	-.30311	-2.484852	1.499658	-.171629
.730437	.496002	-1.151577	-1.041106	-.026017	.39389
1.4992	1.735509	.290096	-2.381782	-1.688956	-.917383
.029096	1.340122	-.305096	-.622571	1.753014	2.037588
-.73647	-1.276442	-2.266316	-.346738	.742559	1.137783
-.311003	1.965715	.763167	-1.839903	-.834819	-.404931
-.776927	-.420842	.866408	.369351	-.241938	-.287549
.313499	.853102	1.492406	.477822	1.032002	-.193629
.37916	.241609	1.590932	.849845	2.428027	1.09398
.672204	.655832	1.370566	-.170941	-1.55457	1.172126
-.715173	-.530899	3.115105	-.850231	-1.206417	-1.373237
.43449	1.457948	1.131927	.562588	2.281796	1.501134
-1.057515	.069129	-1.591978	-.875448	-.586846	-1.656589
1.995544	.679157	-.717761	1.578507	-.752683	-.842087
.255251	-.774231	-1.64321	-.018239	-.595045	-.69837
-3.508607	-2.79731	-.589918	-1.271054	-1.067799	-.155984
1.526995	2.381356	.923703	-.710804	1.134162	-.128053
2.10766	2.081161	2.898477	-1.794066	-.096701	-.444616
.517789	1.586429	1.631181	-.661644	-1.536961	.085579
-.876288	1.487385	-1.980288	3.30428	2.517069	.622307
.689788	-.57456	-.280304	3.081059	1.208685	2.010389
-.760339	-2.406363	-1.375871	.120366	-.823577	.371775
1.536736	2.175507	2.188401	-1.197404	-.723576	-1.022831
2.244377	1.458531	2.498305	1.974685	-.539883	2.428602
-1.512265	-1.826901	-1.05902	-.119193	.430967	2.072821
1.185246	1.38889	.363037	.933812	2.15473	-1.231513
-2.009938	-.973783	-2.869233	.77855	1.731133	-.817124
1.101769	1.552334	-1.083795	1.496817	.426157	.499038
-2.148416	-.062819	-1.1499	-1.504326	-.389151	.067077
-2.709399	-3.768498	-.71188	2.302154	.94658	.158709
-1.131508	1.030052	-1.753161	-.007766	-.296172	.930463
-1.42617	-2.033815	-1.438904	-2.412332	-1.966208	.450074
.279856	-2.403227	-.073928	.063575	-.209865	1.542632
-.427236	.042161	-1.864838	-1.505111	-1.486409	-2.662927
.74063	.7231	.736555	.976367	-.560215	.246068
.76009	.688876	.866649	-.236438	-.716398	.469045
-2.585644	-2.404345	-2.721705	1.124552	.209611	.437023
-.316963	2.020699	.578936	-1.746376	-1.137863	.330243
-1.146948	-2.203581	-1.581401	1.391741	.281268	-1.236138
-.560648	-1.330411	-1.490266	1.098616	.227249	-.336973
2.266471	3.330601	2.59131	-1.110944	-1.387841	-1.960711
-.445697	.786452	1.953204	2.891669	4.150381	1.662817
2.411269	-.44643	-.577348	-2.546235	-3.083364	-.463334
-1.796898	.099709	-2.32048	.535802	.993427	1.762821
-.56006	-.102195	-1.606882	-1.281053	-1.323503	-.001042
1.898131	1.50297	-.370557	.479591	-.374267	-1.489998
